SYCC002c01a_T1SS_1	GCF0000214
SYWH001c01a_T1SS_1	GCF0000215
HEPY045c01a_T5aSS_1	GCF0000216
BRJA002c01a_T5aSS_1	GCF0000217
BUPS009c02a_T1SS_1	GCF0000218
DESU001c01a_T5aSS_1	GCF0000219
SUDN001c01a_T1SS_2	GCF0000220
SUSP001c01a_T1SS_1	GCF0000221
SUKU001c01a_T1SS_3	GCF0000222
DEAE001c01a_T1SS_1	GCF0000223
DEPS001c01a_T1SS_1	GCF0000224
MEAA001c01a_T1SS_3	GCF0000225
SHVI001c01a_T1SS_3	GCF0000226
VIAL001c01a_T1SS_1	GCF0000227
VIVU001c02a_T1SS_3	GCF0000228
OSNI001c01a_T5bSS_2	GCF0000229
SY75001c01a_T5bSS_1	GCF0000230
DASA001c01a_T5bSS_2	GCF0000231
TRER001c01a_T5bSS_1	GCF0000232
DEOL001c01a_T5cSS_1	GCF0000233
PEPH001c01a_T5bSS_1	GCF0000234
CYAP001c01a_T5bSS_2	GCF0000235
PL73001c01a_T5bSS_2	GCF0000236
RIBE001c01a_T5aSS_6	GCF0000237
CACO001c01a_T1SS_1	GCF0000238
SUDE001c01a_T1SS_1	GCF0000239
RIPE001c01a_T1SS_1	GCF0000240
RIBE001c01a_T5aSS_4	GCF0000241
ORTS002c01a_T1SS_1	GCF0000242
ORTS002c01a_T5aSS_5	GCF0000243
ORTS002c01a_T5aSS_1	GCF0000244
ORTS002c01a_T5aSS_3	GCF0000245
ORTS002c01a_T5aSS_4	GCF0000246
RITY002c01a_T5aSS_3	GCF0000247
RIAM001c01a_T4SS_typeF_1	GCF0000248
XENE001c01a_T1SS_2	GCF0000249
RIBE002c01a_T5aSS_3	GCF0000250
SYCC001c01a_T1SS_1	GCF0000251
SY63001c01a_T5bSS_1	GCF0000252
CHTA001c01a_T5bSS_2	GCF0000253
GL74001c01a_T5bSS_1	GCF0000254
OSNI001c01a_T5bSS_3	GCF0000255
NOPC001c01a_T5bSS_4	GCF0000256
NOAZ001c01a_T5bSS_1	GCF0000257
ANCY001c01a_T5bSS_1	GCF0000258
NIEU001c01a_T5aSS_1	GCF0000259
BUCG001c02a_T5aSS_1	GCF0000260
BUPH001c02a_T5cSS_1	GCF0000261
CYTC006c01a_T5bSS_3	GCF0000262
RHTR001p03a_T5bSS_1	GCF0000263
RHPA005c01a_T5aSS_4	GCF0000264
RHPA004c01a_T5aSS_1	GCF0000265
PHAB001c01a_T5bSS_2	GCF0000266
PSSU001c01a_T1SS_1	GCF0000267
RHCE001c01a_T1SS_2	GCF0000268
MEPE001c01a_T1SS_2	GCF0000269
CHVI001c01a_T1SS_1	GCF0000270
NOPU001c01a_T1SS_7	GCF0000271
NOPC001c01a_T1SS_1	GCF0000272
RI71001c01a_T1SS_5	GCF0000273
RI71001c01a_T5bSS_3	GCF0000274
NO75001c01a_T1SS_1	GCF0000275
CHTA001c01a_T1SS_5	GCF0000276
CHTA001c01a_T1SS_7	GCF0000277
CHTA001c01a_T1SS_2	GCF0000278
LE73001c01a_T1SS_1	GCF0000279
AN90001c01a_T1SS_3	GCF0000280
TRER001c01a_T1SS_1	GCF0000281
NO75001c01a_T1SS_8	GCF0000282
SYEL002c01a_T1SS_2	GCF0000283
LE73001c01a_T5cSS_1	GCF0000284
CYTC002c01a_T1SS_3	GCF0000285
CYAP001c01a_T5bSS_1	GCF0000286
MI71001c01a_T5bSS_3	GCF0000287
GE74001c01a_T5bSS_2	GCF0000288
PSFO001c01a_T5aSS_4	GCF0000289
SYCC003c01a_T1SS_1	GCF0000290
PL73001c01a_T1SS_3	GCF0000291
CA75001c01a_T1SS_4	GCF0000292
NO75001c01a_T1SS_7	GCF0000293
RI71001c01a_T1SS_2	GCF0000294
GL74001c01a_T1SS_2	GCF0000295
NOPU001c01a_T1SS_4	GCF0000296
CA63001c01a_T1SS_2	GCF0000297
ANCY001c01a_T1SS_3	GCF0000298
CHMI001c01a_T1SS_1	GCF0000299
MYAE001c01a_T1SS_1	GCF0000300
DETH001c01a_T1SS_1	GCF0000301
NOPU001c01a_T1SS_8	GCF0000302
CA63001c01a_T1SS_3	GCF0000303
CA75001c01a_T1SS_7	GCF0000304
ACMA001c01a_T1SS_2	GCF0000305
SY75001c01a_T1SS_1	GCF0000306
PS73001c01a_T1SS_1	GCF0000307
TIMO001c01a_T5aSS_3	GCF0000308
GLVI001c01a_T1SS_1	GCF0000309
CYTC006p05a_T5bSS_1	GCF0000310
SETE001c01a_T5aSS_17	GCF0000311
SETE001c01a_T5aSS_13	GCF0000312
LEBU001c01a_T5aSS_2	GCF0000313
DEPI001c01a_T1SS_2	GCF0000314
NOPU001p04a_T4SS_typeC_1	GCF0000315
NOPU001p04a_T5bSS_1	GCF0000316
CYST001p01a_T4SS_typeC_1	GCF0000317
ANVA001p03a_T4SS_typeC_1	GCF0000318
CHTA001p02a_T4SS_typeC_1	GCF0000319
RI71001c01a_T4SS_typeC_2	GCF0000320
MI71001p01a_T4SS_typeC_1	GCF0000321
ACMA001c01a_T1SS_3	GCF0000322
PL73001c01a_T1SS_4	GCF0000323
CYTC001c01a_T5bSS_1	GCF0000324
CYTC005c01a_T5bSS_2	GCF0000325
CYGR001c01a_T1SS_1	GCF0000326
ANCY001p03a_T5bSS_1	GCF0000327
CYTC001c02a_T4SS_typeC_1	GCF0000328
CYST001p03a_T4SS_typeC_1	GCF0000329
GL74001p04a_T4SS_typeC_1	GCF0000330
OSNI001p04a_T4SS_typeC_1	GCF0000331
CA63001c01a_T4SS_typeC_2	GCF0000332
CHMI001p02a_T4SS_typeC_1	GCF0000333
CYTC006c01a_T4SS_typeC_1	GCF0000334
